team,season,name,gamesPlayed,points,pointsPercentage,leaguePointsPercentile,goalsFor,goalsAgainst,goalDifferential,xGoalsFor,xGoalsAgainst,xGoalDifferential,corsiPercentage,fenwickPercentage,shotsOnGoalFor,shotsForPerGame,shotsOnGoalAgainst,shotsAgainstPerGame,shotsDifferentialPerGame,finishing,goaltending
ANA,2010,Anaheim Ducks,82,99,0.604,0.6609311740890689,235,233,2,203.31,240.39,-37.079999999999984,0.45,0.46,2334.0,28.463414634146343,2649.0,32.30487804878049,-3.841463414634145,0.10068551842330763,0.9120422801057002
ATL,2010,Atlanta Thrashers,82,80,0.488,0.23279352226720648,218,262,-44,218.21,245.6,-27.389999999999986,0.49,0.5,2581.0,31.475609756097562,2638.0,32.170731707317074,-0.6951219512195124,0.08446338628438589,0.9006823351023503
BOS,2010,Boston Bruins,82,103,0.628,0.7672064777327935,244,189,55,226.06,232.15,-6.090000000000003,0.51,0.5,2696.0,32.8780487804878,2683.0,32.71951219512195,0.15853658536585158,0.09050445103857567,0.9295564666418189
BUF,2010,Buffalo Sabres,82,96,0.585,0.5738866396761133,240,228,12,229.41,228.85,0.5600000000000023,0.5,0.5,2690.0,32.80487804878049,2514.0,30.658536585365855,2.1463414634146325,0.08921933085501858,0.9093078758949881
CGY,2010,Calgary Flames,82,94,0.573,0.5222672064777328,241,230,11,223.23,198.47,24.75999999999999,0.52,0.52,2502.0,30.51219512195122,2338.0,28.51219512195122,2.0,0.09632294164668265,0.9016253207869974
CAR,2010,Carolina Hurricanes,82,91,0.555,0.4352226720647773,231,234,-3,239.25,248.81,-9.560000000000002,0.49,0.48,2517.0,30.695121951219512,2725.0,33.23170731707317,-2.536585365853661,0.09177592371871275,0.9141284403669725
CHI,2010,Chicago Blackhawks,82,97,0.591,0.597165991902834,252,220,32,225.23,213.95,11.280000000000001,0.52,0.53,2637.0,32.15853658536585,2354.0,28.70731707317073,3.45121951219512,0.09556313993174062,0.9065420560747663
COL,2010,Colorado Avalanche,82,68,0.415,0.07489878542510121,221,287,-66,219.65,242.96,-23.310000000000002,0.47,0.47,2394.0,29.195121951219512,2609.0,31.817073170731707,-2.6219512195121943,0.0923141186299081,0.8899961671138368
CBJ,2010,Columbus Blue Jackets,82,81,0.494,0.2611336032388664,210,250,-40,208.42,206.97,1.4499999999999886,0.51,0.51,2506.0,30.5609756097561,2447.0,29.841463414634145,0.7195121951219541,0.08379888268156424,0.8978340825500613
DAL,2010,Dallas Stars,82,95,0.579,0.5465587044534413,222,226,-4,207.09,222.6,-15.509999999999991,0.49,0.49,2269.0,27.670731707317074,2504.0,30.536585365853657,-2.865853658536583,0.09784045835169679,0.9097444089456869
DET,2010,Detroit Red Wings,82,104,0.634,0.7874493927125507,257,237,20,247.67,218.85,28.819999999999993,0.54,0.53,2757.0,33.6219512195122,2514.0,30.658536585365855,2.9634146341463428,0.09321726514327167,0.905727923627685
EDM,2010,Edmonton Oilers,82,62,0.378,0.0465587044534413,191,260,-69,204.51,254.89,-50.379999999999995,0.46,0.45,2189.0,26.695121951219512,2597.0,31.670731707317074,-4.975609756097562,0.08725445408862495,0.8998844820947247
FLA,2010,Florida Panthers,82,72,0.439,0.12044534412955465,191,222,-31,220.27,224.08,-3.8100000000000023,0.49,0.49,2493.0,30.402439024390244,2610.0,31.829268292682926,-1.426829268292682,0.07661452065784195,0.9149425287356322
LAK,2010,Los Angeles Kings,82,98,0.598,0.631578947368421,209,196,13,212.52,195.28,17.24000000000001,0.52,0.51,2363.0,28.817073170731707,2288.0,27.902439024390244,0.9146341463414629,0.08844688954718578,0.9143356643356644
