team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2016,82,46,23,13,105,0.64,40,43,3,220,197,2.68,2.4,8,18.7,84.7,15.9,87.9,29.6,29.6,54.7
ARI,Arizona Coyotes,2016,82,30,42,10,70,0.427,20,24,6,191,258,2.33,3.15,3,16.2,77.3,13.2,80.4,27.8,34.1,48.0
BOS,Boston Bruins,2016,82,44,31,7,95,0.579,38,42,2,232,209,2.83,2.55,8,21.7,85.7,19.3,89.4,33.2,26.8,53.2
BUF,Buffalo Sabres,2016,82,33,37,12,78,0.476,25,31,2,199,231,2.43,2.82,3,24.5,77.6,22.7,78.9,30.4,34.3,49.6
CGY,Calgary Flames,2016,82,45,33,4,94,0.573,32,41,4,222,219,2.71,2.67,5,20.2,81.6,18.3,84.5,29.1,28.7,48.9
CAR,Carolina Hurricanes,2016,82,36,31,15,87,0.53,28,33,3,212,230,2.59,2.8,3,17.7,84.2,15.2,89.1,30.4,28.3,53.1
CHI,Chicago Blackhawks,2016,82,50,23,9,109,0.665,37,46,4,240,212,2.93,2.59,4,18.0,77.7,15.0,78.2,30.6,31.4,47.5
COL,Colorado Avalanche,2016,82,22,56,4,48,0.293,14,21,1,165,276,2.01,3.37,3,12.6,76.6,11.7,78.5,28.1,31.7,53.6
CBJ,Columbus Blue Jackets,2016,82,50,24,8,108,0.659,39,48,2,247,193,3.01,2.35,8,19.9,82.5,19.0,87.0,31.0,30.4,48.6
DAL,Dallas Stars,2016,82,34,37,11,79,0.482,28,33,1,222,260,2.71,3.17,3,17.9,73.9,13.6,75.9,30.5,29.7,49.9
DET,Detroit Red Wings,2016,82,33,36,13,79,0.482,17,24,9,198,244,2.41,2.98,4,15.1,80.9,11.5,82.1,28.5,30.6,51.9
EDM,Edmonton Oilers,2016,82,47,26,9,103,0.628,37,43,4,243,207,2.96,2.52,7,22.9,80.7,20.8,82.5,31.1,29.5,47.0
FLA,Florida Panthers,2016,82,35,36,11,81,0.494,23,30,5,205,231,2.5,2.82,4,17.0,85.3,14.0,88.6,32.2,31.6,47.9
LAK,Los Angeles Kings,2016,82,39,35,8,86,0.524,25,37,2,199,201,2.43,2.45,9,19.1,84.6,17.8,86.6,31.1,25.9,50.8
MIN,Minnesota Wild,2016,82,49,25,8,106,0.646,42,46,3,263,206,3.21,2.51,5,21.0,82.9,19.6,85.3,30.8,30.1,51.9
MTL,Montréal Canadiens,2016,82,47,26,9,103,0.628,33,44,3,223,198,2.72,2.41,5,19.7,81.1,17.0,83.1,30.0,29.6,50.3
NSH,Nashville Predators,2016,82,41,29,12,94,0.573,35,39,2,238,220,2.9,2.68,4,18.9,80.9,16.6,85.9,31.2,30.1,51.4
NJD,New Jersey Devils,2016,82,28,40,14,70,0.427,18,25,3,180,241,2.2,2.94,3,17.5,79.6,12.7,81.9,27.8,31.4,49.2
NYI,New York Islanders,2016,82,41,29,12,94,0.573,33,39,2,239,238,2.91,2.9,5,15.0,81.9,12.0,84.1,30.2,31.9,47.7
NYR,New York Rangers,2016,82,48,28,6,102,0.622,40,45,3,253,216,3.09,2.63,7,20.2,79.8,18.0,83.9,29.7,30.1,48.4
OTT,Ottawa Senators,2016,82,44,28,10,98,0.598,34,38,6,206,210,2.51,2.56,10,17.0,79.7,15.8,82.5,30.0,30.1,51.0
PHI,Philadelphia Flyers,2016,82,39,33,10,88,0.537,25,32,7,212,231,2.59,2.82,5,19.5,79.8,16.2,81.4,31.5,28.5,52.3
PIT,Pittsburgh Penguins,2016,82,50,21,11,111,0.677,40,46,4,278,229,3.39,2.79,5,23.1,79.8,20.4,81.7,33.5,32.6,47.6
SJS,San Jose Sharks,2016,82,46,29,7,99,0.604,38,44,2,219,200,2.67,2.44,3,16.7,80.7,14.2,84.0,29.9,27.7,48.1
STL,St. Louis Blues,2016,82,46,29,7,99,0.604,38,44,2,233,216,2.84,2.63,8,21.3,84.8,19.1,85.9,28.4,28.4,50.3
TBL,Tampa Bay Lightning,2016,82,42,30,10,94,0.573,32,38,4,230,224,2.8,2.73,3,22.8,81.4,19.9,82.9,29.9,30.4,47.7
TOR,Toronto Maple Leafs,2016,82,40,27,15,95,0.579,33,39,1,250,234,3.05,2.85,5,23.8,82.5,20.9,84.9,31.9,32.6,49.9
VAN,Vancouver Canucks,2016,82,30,43,9,69,0.421,19,26,4,178,241,2.17,2.94,3,14.1,76.7,11.5,77.6,27.7,31.8,51.1
WSH,Washington Capitals,2016,82,55,19,8,118,0.72,45,53,2,261,177,3.18,2.16,12,23.1,83.8,21.9,85.7,30.4,27.8,49.8
WPG,Winnipeg Jets,2016,82,40,35,7,87,0.53,33,37,3,246,255,3.0,3.11,5,18.2,77.5,14.8,81.1,29.9,31.0,48.5
