team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2023,New York Rangers,5on5,82,0.49,0.5,0.5,242468.0,2063.53,162.67,132.56,527.27,69.22,1133.41,839.87,157.08,163.61,158.0,1974.0,891.0,1101.0,3966.0,166.0,190.0,23.0,411.0,11.0,1022.0,1065.0,1808.0,2699.0,256.0,582.0,1821.0,1869.0,445.0,493.0,2254.0,458.0,153.0,64.86,55.14,42.68,86.0,61.0,19.0,3981.96,2865.0,2878.81,280.0,27.47,35.89,36.3,153.85,154.67,151.91,2048.61,167.47,131.6,526.74,70.42,1097.85,824.92,160.99,167.0,160.57,1931.0,888.0,1132.0,3951.0,165.0,234.0,26.0,336.0,13.0,986.0,1085.0,1766.0,2654.0,260.0,593.0,1669.0,1579.0,410.0,447.0,2176.0,478.0,165.0,60.04,61.24,46.19,68.0,69.0,28.0,3920.69,2819.0,2803.76,250.0,27.28,43.53,44.14,150.61,150.43,147.99
TBL,2023,Tampa Bay Lightning,5on5,82,0.5,0.51,0.5,242162.0,1946.64,166.07,129.12,481.28,64.85,1054.59,785.08,159.98,166.73,160.62,1814.0,867.0,1175.0,3856.0,172.0,180.0,25.0,376.0,7.0,958.0,988.0,1642.0,2509.0,270.0,620.0,1794.0,1859.0,433.0,514.0,2020.0,502.0,159.0,58.81,63.54,43.74,76.0,77.0,19.0,3880.52,2681.0,2693.91,266.0,26.87,36.0,36.03,156.9,157.45,154.66,1931.43,167.8,125.59,484.94,65.94,1035.3,776.44,161.02,168.53,161.64,1894.0,762.0,1119.0,3775.0,190.0,219.0,25.0,357.0,7.0,901.0,982.0,1704.0,2466.0,286.0,662.0,1660.0,1945.0,502.0,452.0,2013.0,463.0,180.0,58.02,57.49,52.28,88.0,72.0,30.0,3770.9,2656.0,2662.26,243.0,26.13,44.69,44.82,149.1,149.55,146.99
OTT,2023,Ottawa Senators,5on5,82,0.49,0.5,0.51,238667.0,2074.74,161.24,125.79,535.1,70.05,1099.8,847.09,155.64,161.15,155.58,1951.0,889.0,1143.0,3983.0,163.0,214.0,19.0,406.0,8.0,1017.0,1032.0,1788.0,2677.0,285.0,639.0,1740.0,1867.0,507.0,650.0,2222.0,455.0,163.0,58.09,57.41,45.74,72.0,73.0,18.0,3954.11,2840.0,2823.29,422.0,26.12,40.45,40.97,146.32,146.27,143.81,1984.17,166.67,125.24,509.67,67.28,1043.17,802.03,158.99,168.03,160.32,1913.0,802.0,1201.0,3916.0,193.0,229.0,26.0,389.0,9.0,921.0,974.0,1720.0,2522.0,310.0,701.0,1773.0,1899.0,478.0,590.0,2082.0,448.0,185.0,58.82,56.59,51.28,91.0,75.0,27.0,3969.68,2715.0,2743.55,356.0,26.06,44.81,44.94,147.8,149.22,146.25
CHI,2023,Chicago Blackhawks,5on5,82,0.43,0.44,0.43,242696.0,1740.4,141.71,108.85,445.21,58.17,933.75,705.29,136.3,139.65,134.29,1691.0,702.0,994.0,3387.0,118.0,176.0,22.0,393.0,7.0,771.0,928.0,1573.0,2275.0,252.0,581.0,1575.0,1772.0,596.0,632.0,1875.0,373.0,145.0,51.39,47.43,42.89,47.0,45.0,26.0,3287.75,2393.0,2339.27,377.0,22.59,38.55,38.59,125.71,123.74,121.91,2256.12,191.19,147.62,560.59,76.27,1235.45,918.87,183.97,195.32,187.92,2188.0,942.0,1230.0,4360.0,202.0,222.0,24.0,402.0,14.0,1103.0,1187.0,1986.0,2928.0,247.0,570.0,1830.0,1459.0,470.0,521.0,2395.0,547.0,188.0,70.84,67.76,52.59,98.0,79.0,25.0,4507.09,3130.0,3213.33,256.0,30.65,44.77,44.77,177.07,180.89,177.24
SEA,2023,Seattle Kraken,5on5,82,0.51,0.51,0.5,245324.0,1987.96,157.93,126.41,512.3,67.27,1095.04,807.06,153.38,159.36,154.79,1875.0,891.0,1271.0,4037.0,144.0,184.0,16.0,420.0,7.0,978.0,1033.0,1731.0,2622.0,226.0,524.0,1671.0,1707.0,596.0,351.0,2166.0,451.0,149.0,60.92,56.69,40.32,76.0,46.0,22.0,4050.65,2766.0,2775.44,159.0,26.17,34.76,34.76,149.34,150.53,148.32,2001.92,151.93,126.65,515.91,68.44,1105.47,828.6,147.08,152.68,147.86,1887.0,910.0,1033.0,3830.0,146.0,201.0,20.0,470.0,8.0,945.0,1027.0,1741.0,2651.0,245.0,547.0,1854.0,1647.0,603.0,463.0,2221.0,438.0,138.0,59.54,53.39,38.99,66.0,53.0,27.0,3843.33,2797.0,2812.32,242.0,26.21,36.5,36.63,141.5,142.4,140.02
NSH,2023,Nashville Predators,5on5,82,0.53,0.51,0.52,237162.0,2133.49,184.22,140.57,543.78,72.67,1141.68,851.09,176.83,186.71,179.16,2037.0,897.0,1126.0,4060.0,168.0,215.0,29.0,454.0,6.0,1022.0,1069.0,1869.0,2766.0,264.0,635.0,1820.0,1997.0,555.0,633.0,2215.0,529.0,190.0,62.44,67.52,54.25,69.0,58.0,41.0,4114.56,2934.0,2972.94,372.0,29.28,42.95,43.48,170.01,171.99,168.85,1991.81,163.77,126.86,506.15,68.73,1059.46,804.03,158.18,164.3,158.68,1960.0,769.0,1101.0,3830.0,156.0,196.0,17.0,405.0,5.0,970.0,997.0,1804.0,2573.0,283.0,660.0,1752.0,1793.0,500.0,711.0,2074.0,490.0,165.0,56.86,61.68,45.23,69.0,60.0,27.0,3821.68,2729.0,2722.73,432.0,26.37,37.04,37.44,152.7,153.35,151.04
CBJ,2023,Columbus Blue Jackets,5on5,82,0.45,0.48,0.47,245136.0,2046.23,165.03,131.44,520.69,70.78,1101.59,836.46,158.15,164.99,158.21,1938.0,888.0,1183.0,4009.0,175.0,230.0,19.0,443.0,10.0,976.0,992.0,1763.0,2651.0,253.0,560.0,1720.0,1506.0,424.0,393.0,2203.0,458.0,165.0,62.73,57.01,45.29,78.0,67.0,30.0,3997.21,2826.0,2823.16,231.0,27.24,39.43,39.55,152.72,152.99,149.85,2272.59,201.06,149.63,565.82,77.45,1227.16,910.87,192.54,202.29,193.74,2220.0,912.0,1254.0,4386.0,196.0,265.0,25.0,451.0,8.0,1099.0,1113.0,2024.0,2936.0,237.0,538.0,1910.0,1290.0,425.0,439.0,2353.0,561.0,218.0,70.08,70.44,60.54,90.0,78.0,28.0,4419.24,3132.0,3152.02,221.0,31.09,53.72,53.77,178.38,179.61,175.7
VAN,2023,Vancouver Canucks,5on5,82,0.52,0.51,0.51,238102.0,1926.14,168.13,128.22,486.91,65.19,1052.22,767.32,161.31,170.86,163.98,1765.0,903.0,1085.0,3753.0,187.0,197.0,29.0,391.0,6.0,892.0,995.0,1578.0,2481.0,261.0,584.0,1764.0,2026.0,404.0,417.0,2020.0,456.0,192.0,57.4,57.26,53.47,84.0,68.0,35.0,3844.7,2668.0,2726.84,280.0,26.63,41.79,42.0,152.76,155.67,153.01,1843.21,153.65,118.59,471.32,63.67,990.85,747.92,147.84,152.17,146.41,1753.0,793.0,998.0,3544.0,138.0,204.0,17.0,368.0,4.0,895.0,937.0,1615.0,2408.0,264.0,584.0,1636.0,1752.0,320.0,447.0,1952.0,419.0,175.0,51.83,53.02,48.8,62.0,48.0,28.0,3470.96,2546.0,2506.56,247.0,24.67,40.42,40.56,137.76,136.29,133.93
MIN,2023,Minnesota Wild,5on5,82,0.51,0.5,0.5,237710.0,1906.54,153.57,122.85,463.21,62.82,1039.94,788.6,148.89,154.04,149.3,1789.0,842.0,1084.0,3715.0,159.0,154.0,16.0,374.0,10.0,946.0,988.0,1630.0,2472.0,296.0,699.0,1607.0,1472.0,418.0,432.0,2014.0,490.0,127.0,56.75,60.94,35.88,60.0,77.0,22.0,3719.08,2631.0,2638.73,212.0,25.38,31.01,31.54,147.41,147.59,145.07,1912.79,147.92,122.56,476.95,63.14,1051.55,779.89,143.74,149.19,145.02,1818.0,824.0,1124.0,3766.0,163.0,124.0,10.0,408.0,11.0,914.0,1022.0,1655.0,2479.0,288.0,683.0,1864.0,1463.0,392.0,435.0,2097.0,407.0,138.0,58.94,50.55,38.44,86.0,50.0,27.0,3794.9,2642.0,2662.73,242.0,25.34,26.09,26.66,146.6,147.97,145.65
NYI,2023,New York Islanders,5on5,82,0.5,0.47,0.48,247856.0,2080.8,172.08,132.16,534.91,71.68,1105.23,833.93,164.59,173.4,165.87,1985.0,865.0,1066.0,3916.0,166.0,237.0,24.0,389.0,7.0,970.0,1081.0,1819.0,2684.0,208.0,452.0,1871.0,1959.0,461.0,584.0,2169.0,482.0,199.0,55.98,60.78,55.32,78.0,59.0,29.0,3941.92,2850.0,2870.77,285.0,27.52,48.58,48.27,151.32,152.5,149.76,2214.59,172.26,139.98,568.45,74.72,1193.45,902.13,166.22,171.56,165.56,2104.0,947.0,1380.0,4431.0,158.0,225.0,20.0,396.0,4.0,1132.0,1136.0,1946.0,2893.0,226.0,494.0,1795.0,1578.0,452.0,605.0,2424.0,449.0,178.0,64.84,56.32,51.11,75.0,59.0,24.0,4410.95,3051.0,3035.74,315.0,28.93,43.68,44.43,156.77,156.18,153.57
