team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,Vegas Golden Knights,all,82,0.54,0.51,0.52,298066.0,2662.75,275.76,177.08,637.44,88.61,1423.85,1036.26,259.83,278.14,262.14,2480.0,1159.0,1324.0,4963.0,274.0,274.0,32.0,543.0,8.0,1192.0,1348.0,2206.0,3365.0,189.0,431.0,2332.0,1488.0,401.0,1304.0,2625.0,676.0,338.0,77.74,83.76,114.25,93.0,97.0,84.0,5025.8,3639.0,3678.18,599.0,38.98,58.29,58.31,256.44,258.63,249.08,2467.91,232.08,162.86,606.62,83.86,1341.14,967.43,219.34,231.82,219.09,2141.0,1253.0,1395.0,4789.0,214.0,267.0,36.0,454.0,6.0,1183.0,1270.0,1927.0,3180.0,207.0,463.0,2294.0,1918.0,386.0,1265.0,2534.0,598.0,262.0,72.61,74.27,85.21,80.0,69.0,65.0,4758.7,3394.0,3382.52,590.0,35.82,56.59,56.83,211.07,210.81,204.32
TOR,2024,Toronto Maple Leafs,all,82,0.49,0.47,0.48,297635.0,2498.87,261.11,168.13,595.97,83.33,1342.19,967.26,247.42,262.62,248.87,2298.0,1120.0,1240.0,4658.0,267.0,243.0,28.0,464.0,5.0,1030.0,1409.0,2031.0,3151.0,276.0,618.0,2433.0,1962.0,378.0,1234.0,2487.0,626.0,305.0,71.21,78.74,111.16,88.0,95.0,84.0,4684.16,3418.0,3438.69,610.0,37.59,52.05,52.33,246.37,247.55,239.5,2672.42,266.66,177.42,657.52,90.63,1461.9,1048.86,251.32,266.57,251.24,2406.0,1297.0,1496.0,5199.0,229.0,291.0,27.0,516.0,2.0,1219.0,1446.0,2177.0,3474.0,260.0,603.0,2094.0,1711.0,381.0,1189.0,2765.0,634.0,304.0,76.34,79.56,110.77,84.0,76.0,69.0,5172.54,3703.0,3699.71,536.0,39.43,58.63,58.81,247.28,247.26,239.04
MIN,2024,Minnesota Wild,all,82,0.5,0.48,0.48,298584.0,2433.85,237.43,162.04,581.56,81.93,1334.81,975.24,223.81,238.41,224.71,2264.0,1109.0,1275.0,4648.0,225.0,248.0,24.0,408.0,8.0,1063.0,1421.0,2039.0,3148.0,252.0,588.0,2081.0,1645.0,407.0,1224.0,2529.0,589.0,255.0,69.33,73.38,94.73,81.0,73.0,71.0,4657.7,3373.0,3383.53,581.0,35.94,53.99,53.99,219.39,219.97,213.35,2631.92,238.14,173.61,642.94,88.61,1465.49,1038.26,226.23,239.4,227.44,2428.0,1220.0,1455.0,5103.0,236.0,231.0,31.0,505.0,6.0,1127.0,1543.0,2192.0,3412.0,250.0,580.0,2375.0,1604.0,349.0,1229.0,2777.0,616.0,255.0,77.09,75.43,85.62,82.0,82.0,72.0,5118.85,3648.0,3660.37,542.0,38.38,49.87,49.92,226.54,227.52,220.49
PHI,2024,Philadelphia Flyers,all,82,0.51,0.48,0.5,299715.0,2437.06,250.11,169.0,585.09,82.87,1306.71,941.22,237.54,250.61,237.96,2213.0,1122.0,1245.0,4580.0,232.0,261.0,30.0,454.0,6.0,957.0,1425.0,1981.0,3103.0,253.0,552.0,2251.0,1727.0,430.0,1289.0,2410.0,631.0,294.0,69.98,80.48,99.65,89.0,81.0,62.0,4551.17,3335.0,3325.15,606.0,37.22,56.72,56.72,230.6,230.36,225.03,2437.97,237.21,159.51,584.11,81.45,1309.75,981.96,227.53,239.25,229.48,2210.0,1144.0,1584.0,4938.0,283.0,230.0,27.0,407.0,9.0,1036.0,1389.0,1927.0,3071.0,263.0,576.0,2258.0,1727.0,428.0,1244.0,2480.0,628.0,246.0,72.66,78.02,86.53,113.0,95.0,75.0,5006.33,3354.0,3395.95,581.0,34.96,54.73,54.89,217.28,219.32,214.98
BUF,2024,Buffalo Sabres,all,82,0.48,0.5,0.49,298327.0,2553.68,255.23,171.83,617.59,85.45,1386.51,993.4,240.3,255.62,240.68,2280.0,1230.0,1350.0,4860.0,265.0,255.0,30.0,479.0,9.0,1067.0,1435.0,2015.0,3245.0,309.0,699.0,2303.0,1736.0,382.0,1197.0,2622.0,606.0,282.0,76.77,74.78,103.69,115.0,81.0,69.0,4860.45,3510.0,3511.64,574.0,38.31,57.09,57.09,236.46,236.76,229.89,2617.39,277.47,176.35,627.88,87.5,1413.25,1021.57,262.43,277.38,262.37,2371.0,1233.0,1305.0,4909.0,287.0,279.0,46.0,472.0,15.0,1179.0,1372.0,2084.0,3317.0,301.0,678.0,2512.0,1798.0,440.0,1197.0,2589.0,684.0,331.0,74.83,86.03,116.62,89.0,99.0,99.0,4899.57,3604.0,3605.05,559.0,39.27,59.06,59.76,256.98,257.04,249.24
CGY,2024,Calgary Flames,all,82,0.49,0.51,0.51,300119.0,2605.3,241.84,168.72,658.06,89.82,1427.64,1033.92,229.87,242.26,230.26,2414.0,1206.0,1584.0,5204.0,220.0,231.0,27.0,553.0,11.0,1130.0,1475.0,2194.0,3400.0,289.0,662.0,2321.0,1908.0,435.0,1285.0,2788.0,554.0,278.0,75.66,69.35,96.84,89.0,58.0,73.0,5182.75,3620.0,3617.45,605.0,37.35,46.37,46.37,232.83,232.97,225.13,2553.2,252.7,168.67,622.66,86.37,1376.37,1004.3,242.11,254.21,243.56,2372.0,1140.0,1441.0,4953.0,236.0,241.0,30.0,574.0,13.0,1094.0,1354.0,2136.0,3276.0,302.0,680.0,2698.0,1651.0,443.0,1349.0,2586.0,666.0,260.0,74.56,83.62,94.52,78.0,91.0,67.0,4984.56,3512.0,3531.22,638.0,37.73,52.95,52.98,237.4,238.53,233.32
SJS,2024,San Jose Sharks,all,82,0.43,0.46,0.46,298395.0,2394.28,222.67,161.8,581.21,80.89,1313.98,931.47,210.57,221.1,209.05,2203.0,1089.0,1336.0,4628.0,208.0,238.0,28.0,426.0,6.0,1107.0,1307.0,1995.0,3084.0,297.0,675.0,2247.0,1818.0,365.0,1226.0,2473.0,572.0,247.0,69.05,69.62,83.98,87.0,61.0,60.0,4544.88,3292.0,3254.35,573.0,36.34,51.67,51.67,207.33,205.85,199.58,2835.7,295.14,196.17,684.45,96.55,1538.66,1100.04,279.09,298.9,282.63,2607.0,1304.0,1560.0,5471.0,310.0,344.0,38.0,473.0,11.0,1278.0,1495.0,2297.0,3601.0,274.0,648.0,2428.0,1663.0,391.0,1254.0,2849.0,708.0,354.0,83.74,87.42,123.97,126.0,92.0,92.0,5601.19,3911.0,3978.91,564.0,43.58,73.8,73.8,264.92,268.16,260.31
CBJ,2024,Columbus Blue Jackets,all,82,0.48,0.49,0.49,298815.0,2556.08,245.17,168.54,628.67,87.06,1353.43,1010.15,230.45,245.66,230.96,2382.0,1111.0,1376.0,4869.0,267.0,291.0,31.0,522.0,8.0,1066.0,1339.0,2115.0,3226.0,268.0,624.0,2237.0,1656.0,391.0,1241.0,2594.0,603.0,296.0,70.64,75.08,99.44,101.0,103.0,63.0,4879.58,3493.0,3499.46,579.0,37.09,63.98,63.98,218.27,218.66,211.93,2687.33,266.73,181.82,649.74,90.98,1462.04,1038.69,253.03,267.59,253.81,2453.0,1237.0,1473.0,5163.0,267.0,302.0,35.0,458.0,11.0,1184.0,1468.0,2186.0,3423.0,230.0,555.0,2445.0,1611.0,405.0,1267.0,2684.0,701.0,305.0,77.59,88.39,100.75,101.0,94.0,72.0,5175.58,3690.0,3705.14,595.0,40.28,65.83,65.9,241.12,241.87,234.84
MTL,2024,Montreal Canadiens,all,82,0.46,0.47,0.47,298913.0,2355.95,241.22,155.79,561.49,79.78,1270.44,936.28,232.1,240.36,231.23,2095.0,1150.0,1327.0,4572.0,243.0,214.0,29.0,423.0,12.0,1066.0,1287.0,1852.0,3002.0,311.0,678.0,2319.0,1987.0,392.0,1156.0,2305.0,690.0,250.0,70.66,84.82,85.74,96.0,76.0,71.0,4541.83,3245.0,3228.09,500.0,34.41,44.13,44.91,230.72,229.6,223.79,2701.05,284.79,181.17,642.25,90.6,1437.79,1032.39,267.4,287.53,269.99,2383.0,1286.0,1568.0,5237.0,261.0,291.0,31.0,501.0,5.0,1125.0,1486.0,2122.0,3408.0,290.0,630.0,2246.0,1781.0,402.0,1153.0,2612.0,726.0,331.0,78.14,91.1,115.54,97.0,100.0,64.0,5280.03,3669.0,3701.1,542.0,40.41,66.21,66.32,258.89,261.09,253.31
UTA,2024,Utah Mammoth,all,82,0.52,0.52,0.52,299653.0,2660.36,272.69,169.96,648.61,89.31,1426.98,1025.51,260.74,273.64,261.69,2342.0,1292.0,1448.0,5082.0,240.0,264.0,27.0,470.0,10.0,1233.0,1417.0,2102.0,3394.0,301.0,711.0,2482.0,1467.0,384.0,1414.0,2588.0,747.0,299.0,76.53,91.09,105.08,79.0,87.0,74.0,5108.09,3634.0,3655.43,665.0,37.44,54.86,54.86,255.2,256.16,250.11,2478.32,250.26,160.44,601.57,83.24,1307.82,967.67,239.85,250.58,240.18,2272.0,1099.0,1381.0,4752.0,247.0,226.0,39.0,472.0,7.0,1140.0,1279.0,2025.0,3124.0,288.0,665.0,2331.0,1924.0,406.0,1249.0,2427.0,683.0,261.0,71.29,84.0,94.98,81.0,80.0,86.0,4750.01,3371.0,3369.72,575.0,35.77,50.14,50.17,235.85,236.27,230.05
