team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2010,New York Islanders,all,82,0.47,0.47,0.47,300787.0,2359.15,230.93,163.43,523.52,79.77,1291.53,1020.81,221.38,229.88,220.35,2409.0,901.0,1203.0,4513.0,225.0,183.0,49.0,569.0,68.0,989.0,1276.0,2184.0,3085.0,435.0,1175.0,2438.0,1808.0,876.0,757.0,2436.0,643.0,231.0,69.51,79.49,81.92,62.0,79.0,84.0,4472.98,3310.0,3284.67,397.0,36.3,44.54,45.4,221.82,220.99,215.51,2655.45,257.92,182.43,597.24,88.36,1468.13,1123.92,246.06,259.68,247.8,2620.0,1098.0,1387.0,5105.0,258.0,210.0,57.0,624.0,110.0,1127.0,1389.0,2362.0,3460.0,431.0,1174.0,2424.0,1593.0,754.0,766.0,2782.0,679.0,257.0,81.35,82.19,94.37,88.0,77.0,93.0,5149.27,3718.0,3752.08,358.0,40.29,47.8,48.21,250.0,251.43,243.73
CAR,2010,Carolina Hurricanes,all,82,0.49,0.49,0.48,299802.0,2582.77,239.25,174.66,579.09,82.49,1414.07,1066.82,232.05,239.24,232.04,2517.0,1045.0,1373.0,4935.0,231.0,182.0,35.0,533.0,82.0,1191.0,1343.0,2286.0,3331.0,332.0,771.0,2192.0,2128.0,705.0,594.0,2615.0,721.0,226.0,73.81,87.78,77.66,57.0,93.0,81.0,4919.51,3562.0,3552.17,331.0,38.68,43.74,44.02,233.52,233.47,229.12,2812.9,248.81,194.23,631.48,90.88,1536.82,1175.0,240.1,250.34,241.58,2725.0,1155.0,1203.0,5083.0,234.0,213.0,41.0,593.0,91.0,1247.0,1502.0,2491.0,3646.0,411.0,898.0,2721.0,1696.0,647.0,630.0,2922.0,743.0,215.0,86.76,89.93,72.1,65.0,90.0,79.0,5109.47,3880.0,3901.69,367.0,42.81,42.82,43.64,247.78,248.84,243.01
WSH,2010,Washington Capitals,all,82,0.53,0.52,0.52,300636.0,2574.69,235.06,178.59,567.06,82.12,1413.02,1078.35,225.35,235.75,226.0,2566.0,991.0,1313.0,4870.0,219.0,173.0,32.0,579.0,69.0,1237.0,1280.0,2347.0,3338.0,364.0,886.0,2534.0,1885.0,657.0,693.0,2640.0,706.0,211.0,77.27,85.27,72.53,73.0,76.0,70.0,4871.93,3557.0,3562.65,465.0,39.63,38.04,38.97,235.52,235.95,229.59,2392.02,208.92,166.81,540.61,76.01,1330.21,989.82,202.02,209.7,202.69,2375.0,943.0,1257.0,4575.0,191.0,151.0,32.0,608.0,67.0,1016.0,1285.0,2184.0,3127.0,334.0,838.0,2372.0,1893.0,567.0,662.0,2485.0,660.0,173.0,68.94,79.92,60.06,69.0,63.0,59.0,4573.46,3318.0,3317.4,452.0,37.14,34.41,35.59,210.08,210.37,206.62
DAL,2010,Dallas Stars,all,82,0.48,0.49,0.49,300132.0,2377.25,207.09,164.46,530.28,77.95,1342.95,1010.27,199.24,207.26,199.43,2269.0,1064.0,1107.0,4440.0,222.0,130.0,26.0,548.0,58.0,1125.0,1250.0,2047.0,3111.0,376.0,948.0,2386.0,2212.0,638.0,711.0,2544.0,616.0,173.0,72.69,73.26,61.14,79.0,79.0,64.0,4435.99,3333.0,3332.9,328.0,36.59,28.42,29.25,214.43,214.52,208.83,2503.94,222.6,171.07,563.42,80.94,1401.49,1048.49,212.62,223.34,213.33,2504.0,984.0,1204.0,4692.0,226.0,167.0,32.0,577.0,69.0,1157.0,1292.0,2278.0,3262.0,404.0,972.0,2390.0,2266.0,546.0,723.0,2691.0,584.0,213.0,75.01,71.66,75.93,76.0,73.0,77.0,4703.02,3488.0,3496.47,366.0,38.04,37.6,38.35,222.29,222.85,217.16
NYR,2010,New York Rangers,all,82,0.53,0.49,0.51,299506.0,2456.36,233.69,173.66,544.12,79.19,1362.25,1000.09,223.03,234.23,223.58,2453.0,940.0,1079.0,4472.0,224.0,186.0,40.0,587.0,98.0,1083.0,1215.0,2229.0,3169.0,364.0,938.0,2195.0,2333.0,604.0,446.0,2491.0,696.0,206.0,77.06,83.84,72.78,75.0,74.0,75.0,4473.93,3393.0,3389.01,243.0,38.34,39.12,40.23,231.8,232.23,225.43,2366.48,206.24,160.42,536.11,76.45,1331.6,994.17,198.98,206.32,199.02,2410.0,895.0,1301.0,4606.0,195.0,146.0,43.0,512.0,87.0,1092.0,1273.0,2215.0,3110.0,401.0,1048.0,2404.0,2218.0,554.0,559.0,2558.0,553.0,194.0,71.16,67.46,67.63,65.0,57.0,73.0,4602.05,3305.0,3306.59,332.0,35.0,34.39,35.73,205.51,205.51,201.38
PHI,2010,Philadelphia Flyers,all,82,0.52,0.5,0.51,299296.0,2569.97,246.12,175.3,585.94,83.04,1383.05,1082.55,237.02,247.93,238.73,2605.0,951.0,1208.0,4764.0,256.0,198.0,42.0,589.0,60.0,1100.0,1353.0,2349.0,3300.0,402.0,999.0,2484.0,1905.0,568.0,655.0,2631.0,649.0,276.0,74.67,78.42,93.04,70.0,91.0,95.0,4817.97,3556.0,3593.12,455.0,38.88,46.88,47.31,237.7,239.29,234.89,2522.19,223.1,168.69,580.4,81.14,1383.95,1048.72,215.83,222.02,214.8,2471.0,1015.0,1317.0,4803.0,216.0,187.0,34.0,636.0,48.0,1085.0,1314.0,2255.0,3270.0,381.0,957.0,2454.0,1777.0,639.0,663.0,2663.0,602.0,221.0,76.53,72.88,73.69,78.0,64.0,74.0,4735.79,3486.0,3447.19,425.0,37.23,41.15,41.47,218.85,217.65,213.5
DET,2010,Detroit Red Wings,all,82,0.53,0.54,0.53,300276.0,2766.12,247.67,188.2,612.32,90.97,1566.03,1166.81,239.15,247.85,239.4,2757.0,1115.0,1130.0,5002.0,257.0,146.0,46.0,633.0,99.0,1276.0,1461.0,2500.0,3615.0,329.0,718.0,2540.0,1794.0,569.0,734.0,2914.0,761.0,197.0,86.4,88.67,72.6,90.0,75.0,92.0,5000.86,3872.0,3873.91,362.0,41.63,35.03,38.56,250.73,250.76,245.4,2463.33,218.85,167.19,553.19,81.93,1371.09,1034.75,212.97,220.22,214.27,2514.0,913.0,917.0,4344.0,237.0,145.0,52.0,611.0,93.0,1051.0,1290.0,2277.0,3190.0,333.0,713.0,2350.0,1963.0,600.0,647.0,2629.0,611.0,187.0,77.75,72.1,69.0,87.0,70.0,80.0,4360.42,3427.0,3437.34,344.0,36.66,37.18,38.9,216.6,217.52,214.19
ARI,2010,Arizona Coyotes,all,82,0.48,0.49,0.48,299729.0,2494.72,216.64,170.38,552.16,79.88,1425.36,1073.58,211.37,217.03,211.77,2486.0,1032.0,1140.0,4658.0,226.0,146.0,36.0,557.0,67.0,1137.0,1385.0,2260.0,3292.0,356.0,781.0,2551.0,1881.0,472.0,542.0,2694.0,672.0,152.0,80.98,78.88,56.78,71.0,87.0,68.0,4666.49,3518.0,3527.15,266.0,37.22,29.03,29.26,224.59,224.9,221.12,2697.56,234.78,190.06,601.88,88.52,1529.1,1126.67,225.11,234.66,225.08,2673.0,1098.0,1056.0,4827.0,220.0,179.0,43.0,641.0,84.0,1298.0,1350.0,2453.0,3551.0,345.0,806.0,2406.0,1844.0,488.0,488.0,2863.0,715.0,193.0,83.4,86.73,64.64,70.0,78.0,72.0,4827.47,3771.0,3768.59,224.0,42.37,36.82,37.77,239.37,239.29,232.44
MTL,2010,Montreal Canadiens,all,82,0.49,0.51,0.51,298439.0,2603.36,224.34,175.96,587.88,83.59,1432.16,1110.09,215.67,224.93,216.32,2602.0,1012.0,1235.0,4849.0,213.0,157.0,34.0,561.0,82.0,1142.0,1459.0,2389.0,3401.0,405.0,939.0,2309.0,1658.0,519.0,738.0,2781.0,630.0,203.0,76.25,77.09,71.0,79.0,67.0,67.0,4865.49,3614.0,3630.08,594.0,38.89,35.49,37.04,226.19,226.84,221.75,2510.81,229.46,176.8,569.84,80.57,1376.54,1030.77,221.19,229.89,221.5,2538.0,926.0,1272.0,4736.0,206.0,177.0,43.0,595.0,74.0,1085.0,1327.0,2332.0,3258.0,380.0,914.0,2403.0,1858.0,533.0,672.0,2548.0,701.0,215.0,71.32,84.97,73.16,58.0,66.0,82.0,4719.41,3464.0,3452.99,474.0,39.64,37.6,38.62,230.47,230.57,226.07
COL,2010,Colorado Avalanche,all,82,0.47,0.47,0.47,299429.0,2341.63,219.65,167.06,527.06,76.85,1283.93,970.45,209.75,218.37,208.54,2394.0,851.0,1009.0,4254.0,221.0,230.0,50.0,526.0,74.0,924.0,1270.0,2173.0,3024.0,392.0,961.0,2436.0,1726.0,684.0,574.0,2432.0,593.0,220.0,73.46,73.23,72.97,69.0,71.0,81.0,4192.91,3245.0,3206.09,312.0,37.09,52.29,54.09,202.64,201.53,196.81,2596.65,242.96,182.71,580.9,84.39,1476.59,1072.44,235.31,245.16,237.45,2609.0,1031.0,1176.0,4816.0,287.0,199.0,53.0,617.0,83.0,1159.0,1295.0,2322.0,3353.0,348.0,873.0,2375.0,1703.0,715.0,527.0,2769.0,655.0,216.0,80.27,79.3,83.39,78.0,106.0,103.0,4888.85,3640.0,3694.36,264.0,40.24,47.18,48.4,234.8,236.63,232.05
